"","adm1_en","adm1_code","adm2_en","adm2_code","district_PSLM","district_PSLM_num","variable","value"
"94","Khyber Pakhtunkhwa","PK2","Tank","PK229","tank",130,"dist_health_clinic_hospital","3.9474013"
"95","Khyber Pakhtunkhwa","PK2","Tor Ghar","PK231","tor garh",131,"dist_health_clinic_hospital","3.9695916"
"96","Khyber Pakhtunkhwa","PK2","Upper Dir","PK230","upper dir",132,"dist_health_clinic_hospital","4.0365367"
"97","Khyber Pakhtunkhwa","PK2","Abbottabad","PK201","abbottabad",101,"dist_primary_school","1.0959824"
"98","Khyber Pakhtunkhwa","PK2","Bajaur","PK232","bajur",102,"dist_primary_school","0.97270858"
"99","Khyber Pakhtunkhwa","PK2","Bannu","PK202","bannu",103,"dist_primary_school","0.75880307"
"100","Khyber Pakhtunkhwa","PK2","Batagram","PK203","batagram",104,"dist_primary_school","0.68722248"
"101","Khyber Pakhtunkhwa","PK2","Buner","PK204","bunair",105,"dist_primary_school","0.85559857"
"102","Khyber Pakhtunkhwa","PK2","Charsadda","PK205","charsada",106,"dist_primary_school","0.76864517"
"103","Khyber Pakhtunkhwa","PK2","Chitral","PK206","chitral",107,"dist_primary_school","1.4658648"
"104","Khyber Pakhtunkhwa","PK2","Dera Ismail Khan","PK207","d. i. khan",108,"dist_primary_school","0.66975147"
"105","Khyber Pakhtunkhwa","PK2","Hangu","PK208","hangu",109,"dist_primary_school","0.78697044"
"106","Khyber Pakhtunkhwa","PK2","Haripur","PK209","haripur",110,"dist_primary_school","0.92399418"
"107","Khyber Pakhtunkhwa","PK2","Karak","PK210","karak",111,"dist_primary_school","0.82202965"
"108","Khyber Pakhtunkhwa","PK2","Khyber","PK233","khyber",112,"dist_primary_school","0.29999608"
"109","Khyber Pakhtunkhwa","PK2","Kohat","PK211","kohat",113,"dist_primary_school","1.0901445"
"110","Khyber Pakhtunkhwa","PK2","Kohistan","PK212","kohistan",114,"dist_primary_school","1.4148723"
"111","Khyber Pakhtunkhwa","PK2","Kurram","PK234","kurram",115,"dist_primary_school","0.94038427"
"112","Khyber Pakhtunkhwa","PK2","Lakki Marwat","PK213","lakki marwat",116,"dist_primary_school","0.61876488"
"113","Khyber Pakhtunkhwa","PK2","Lower Dir","PK214","lower dir",117,"dist_primary_school","0.96191007"
"114","Khyber Pakhtunkhwa","PK2","Malakand PA","PK215","malakand",118,"dist_primary_school","0.97119647"
"115","Khyber Pakhtunkhwa","PK2","Mansehra","PK216","mansehra",119,"dist_primary_school","1.1510513"
"116","Khyber Pakhtunkhwa","PK2","Mardan","PK217","mardan",120,"dist_primary_school","0.97718179"
"117","Khyber Pakhtunkhwa","PK2","Mohmand","PK235","mohmand",121,"dist_primary_school","1.0478688"
"118","Khyber Pakhtunkhwa","PK2","North Waziristan","PK236","north waziristan",122,"dist_primary_school","1.1936389"
"119","Khyber Pakhtunkhwa","PK2","Nowshera","PK218","nowshera",123,"dist_primary_school","0.77175355"
"120","Khyber Pakhtunkhwa","PK2","Orakzai","PK237","orakzai",124,"dist_primary_school","0.84155446"
"121","Khyber Pakhtunkhwa","PK2","Peshawar","PK219","peshawar",125,"dist_primary_school","0.94167948"
"122","Khyber Pakhtunkhwa","PK2","Shangla","PK220","shangla",126,"dist_primary_school","0.54852593"
"123","Khyber Pakhtunkhwa","PK2","South Waziristan","PK238","south waziristan",127,"dist_primary_school","0.84085721"
"124","Khyber Pakhtunkhwa","PK2","Swabi","PK221","swabi",128,"dist_primary_school","0.57182628"
"125","Khyber Pakhtunkhwa","PK2","Swat","PK222","swat",129,"dist_primary_school","0.73249561"
"126","Khyber Pakhtunkhwa","PK2","Tank","PK229","tank",130,"dist_primary_school","0.49239901"
"127","Khyber Pakhtunkhwa","PK2","Tor Ghar","PK231","tor garh",131,"dist_primary_school","0.66577101"
"128","Khyber Pakhtunkhwa","PK2","Upper Dir","PK230","upper dir",132,"dist_primary_school","1.5939573"
"129","Khyber Pakhtunkhwa","PK2","Abbottabad","PK201","abbottabad",101,"dist_middle_school","1.9061849"
"130","Khyber Pakhtunkhwa","PK2","Bajaur","PK232","bajur",102,"dist_middle_school","1.1347655"
"131","Khyber Pakhtunkhwa","PK2","Bannu","PK202","bannu",103,"dist_middle_school","1.2797195"
"132","Khyber Pakhtunkhwa","PK2","Batagram","PK203","batagram",104,"dist_middle_school","0.75511497"
"133","Khyber Pakhtunkhwa","PK2","Buner","PK204","bunair",105,"dist_middle_school","1.4328626"
"134","Khyber Pakhtunkhwa","PK2","Charsadda","PK205","charsada",106,"dist_middle_school","1.214061"
"135","Khyber Pakhtunkhwa","PK2","Chitral","PK206","chitral",107,"dist_middle_school","2.0185297"
"136","Khyber Pakhtunkhwa","PK2","Dera Ismail Khan","PK207","d. i. khan",108,"dist_middle_school","1.6430763"
"137","Khyber Pakhtunkhwa","PK2","Hangu","PK208","hangu",109,"dist_middle_school","1.277396"
"138","Khyber Pakhtunkhwa","PK2","Haripur","PK209","haripur",110,"dist_middle_school","1.7280071"
"139","Khyber Pakhtunkhwa","PK2","Karak","PK210","karak",111,"dist_middle_school","1.0930291"
"140","Khyber Pakhtunkhwa","PK2","Khyber","PK233","khyber",112,"dist_middle_school","0.58000529"
"141","Khyber Pakhtunkhwa","PK2","Kohat","PK211","kohat",113,"dist_middle_school","1.9558449"
"142","Khyber Pakhtunkhwa","PK2","Kohistan","PK212","kohistan",114,"dist_middle_school","2.4704168"
"143","Khyber Pakhtunkhwa","PK2","Kurram","PK234","kurram",115,"dist_middle_school","1.5657771"
"144","Khyber Pakhtunkhwa","PK2","Lakki Marwat","PK213","lakki marwat",116,"dist_middle_school","1.44282"
"145","Khyber Pakhtunkhwa","PK2","Lower Dir","PK214","lower dir",117,"dist_middle_school","1.6470959"
"146","Khyber Pakhtunkhwa","PK2","Malakand PA","PK215","malakand",118,"dist_middle_school","1.601871"
"147","Khyber Pakhtunkhwa","PK2","Mansehra","PK216","mansehra",119,"dist_middle_school","2.0315571"
"148","Khyber Pakhtunkhwa","PK2","Mardan","PK217","mardan",120,"dist_middle_school","1.7093728"
"149","Khyber Pakhtunkhwa","PK2","Mohmand","PK235","mohmand",121,"dist_middle_school","1.4027727"
"150","Khyber Pakhtunkhwa","PK2","North Waziristan","PK236","north waziristan",122,"dist_middle_school","1.6434616"
"151","Khyber Pakhtunkhwa","PK2","Nowshera","PK218","nowshera",123,"dist_middle_school","1.1921368"
"152","Khyber Pakhtunkhwa","PK2","Orakzai","PK237","orakzai",124,"dist_middle_school","2.1180882"
"153","Khyber Pakhtunkhwa","PK2","Peshawar","PK219","peshawar",125,"dist_middle_school","1.3493868"
"154","Khyber Pakhtunkhwa","PK2","Shangla","PK220","shangla",126,"dist_middle_school","0.61467379"
"155","Khyber Pakhtunkhwa","PK2","South Waziristan","PK238","south waziristan",127,"dist_middle_school","1.095634"
"156","Khyber Pakhtunkhwa","PK2","Swabi","PK221","swabi",128,"dist_middle_school","0.73434263"
"157","Khyber Pakhtunkhwa","PK2","Swat","PK222","swat",129,"dist_middle_school","1.175368"
"158","Khyber Pakhtunkhwa","PK2","Tank","PK229","tank",130,"dist_middle_school","1.4624381"
"159","Khyber Pakhtunkhwa","PK2","Tor Ghar","PK231","tor garh",131,"dist_middle_school","2.4497223"
"160","Khyber Pakhtunkhwa","PK2","Upper Dir","PK230","upper dir",132,"dist_middle_school","2.3809884"
"161","Khyber Pakhtunkhwa","PK2","Abbottabad","PK201","abbottabad",101,"dist_high_school","2.3874784"
"162","Khyber Pakhtunkhwa","PK2","Bajaur","PK232","bajur",102,"dist_high_school","2.0681477"
"163","Khyber Pakhtunkhwa","PK2","Bannu","PK202","bannu",103,"dist_high_school","2.3718953"
"164","Khyber Pakhtunkhwa","PK2","Batagram","PK203","batagram",104,"dist_high_school","1.230173"
"165","Khyber Pakhtunkhwa","PK2","Buner","PK204","bunair",105,"dist_high_school","1.9472284"
"166","Khyber Pakhtunkhwa","PK2","Charsadda","PK205","charsada",106,"dist_high_school","1.5388688"
"167","Khyber Pakhtunkhwa","PK2","Chitral","PK206","chitral",107,"dist_high_school","2.9031525"
"168","Khyber Pakhtunkhwa","PK2","Dera Ismail Khan","PK207","d. i. khan",108,"dist_high_school","2.494421"
"169","Khyber Pakhtunkhwa","PK2","Hangu","PK208","hangu",109,"dist_high_school","1.9652976"
"170","Khyber Pakhtunkhwa","PK2","Haripur","PK209","haripur",110,"dist_high_school","2.2160606"
"171","Khyber Pakhtunkhwa","PK2","Karak","PK210","karak",111,"dist_high_school","1.4019572"
"172","Khyber Pakhtunkhwa","PK2","Khyber","PK233","khyber",112,"dist_high_school","0.90277547"
"173","Khyber Pakhtunkhwa","PK2","Kohat","PK211","kohat",113,"dist_high_school","2.414813"
"174","Khyber Pakhtunkhwa","PK2","Kohistan","PK212","kohistan",114,"dist_high_school","2.5924351"
"175","Khyber Pakhtunkhwa","PK2","Kurram","PK234","kurram",115,"dist_high_school","1.8238896"
"176","Khyber Pakhtunkhwa","PK2","Lakki Marwat","PK213","lakki marwat",116,"dist_high_school","2.0778136"
"177","Khyber Pakhtunkhwa","PK2","Lower Dir","PK214","lower dir",117,"dist_high_school","1.8422632"
"178","Khyber Pakhtunkhwa","PK2","Malakand PA","PK215","malakand",118,"dist_high_school","2.485261"
"179","Khyber Pakhtunkhwa","PK2","Mansehra","PK216","mansehra",119,"dist_high_school","2.4499564"
"180","Khyber Pakhtunkhwa","PK2","Mardan","PK217","mardan",120,"dist_high_school","2.1670654"
"181","Khyber Pakhtunkhwa","PK2","Mohmand","PK235","mohmand",121,"dist_high_school","2.4171877"
