"","adm1_en","adm2_en","variable","value"
"158","Khyber Pakhtunkhwa","Charsadda","pop_boys_primary_student",92822
"159","Khyber Pakhtunkhwa","Chitral","pop_boys_primary_student",36128
"160","Khyber Pakhtunkhwa","Dera Ismail Khan","pop_boys_primary_student",79997
"161","Khyber Pakhtunkhwa","FR Bannu","pop_boys_primary_student",44
"162","Khyber Pakhtunkhwa","FR Dera Ismail Khan","pop_boys_primary_student",0
"163","Khyber Pakhtunkhwa","FR Kohat","pop_boys_primary_student",0
"164","Khyber Pakhtunkhwa","FR Lakki Marwat","pop_boys_primary_student",0
"165","Khyber Pakhtunkhwa","FR Peshawar","pop_boys_primary_student",0
"166","Khyber Pakhtunkhwa","FR Tank","pop_boys_primary_student",0
"167","Khyber Pakhtunkhwa","Hangu","pop_boys_primary_student",35610
"168","Khyber Pakhtunkhwa","Haripur","pop_boys_primary_student",52474
"169","Khyber Pakhtunkhwa","Karak","pop_boys_primary_student",54687
"170","Khyber Pakhtunkhwa","Khyber","pop_boys_primary_student",0
"171","Khyber Pakhtunkhwa","Kohat","pop_boys_primary_student",62672
"172","Khyber Pakhtunkhwa","Kohistan","pop_boys_primary_student",45503
"173","Khyber Pakhtunkhwa","Kurram","pop_boys_primary_student",64
"174","Khyber Pakhtunkhwa","Lakki Marwat","pop_boys_primary_student",58234
"175","Khyber Pakhtunkhwa","Lower Dir","pop_boys_primary_student",114095
"176","Khyber Pakhtunkhwa","Malakand PA","pop_boys_primary_student",52973
"177","Khyber Pakhtunkhwa","Mansehra","pop_boys_primary_student",117072
"178","Khyber Pakhtunkhwa","Mardan","pop_boys_primary_student",149812
"179","Khyber Pakhtunkhwa","Mohmand","pop_boys_primary_student",0
"180","Khyber Pakhtunkhwa","North Waziristan","pop_boys_primary_student",0
"181","Khyber Pakhtunkhwa","Nowshera","pop_boys_primary_student",69874
"182","Khyber Pakhtunkhwa","Orakzai","pop_boys_primary_student",129
"183","Khyber Pakhtunkhwa","Peshawar","pop_boys_primary_student",159634
"184","Khyber Pakhtunkhwa","Shangla","pop_boys_primary_student",63566
"185","Khyber Pakhtunkhwa","South Waziristan","pop_boys_primary_student",0
"186","Khyber Pakhtunkhwa","Swabi","pop_boys_primary_student",98665
"187","Khyber Pakhtunkhwa","Swat","pop_boys_primary_student",169364
"188","Khyber Pakhtunkhwa","Tank","pop_boys_primary_student",21820
"189","Khyber Pakhtunkhwa","Tor Ghar","pop_boys_primary_student",11417
"190","Khyber Pakhtunkhwa","Upper Dir","pop_boys_primary_student",113034
"191","Khyber Pakhtunkhwa","Abbottabad","pop_boys_middle_student",7518
"192","Khyber Pakhtunkhwa","Bajaur","pop_boys_middle_student",0
"193","Khyber Pakhtunkhwa","Bannu","pop_boys_middle_student",4116
"194","Khyber Pakhtunkhwa","Batagram","pop_boys_middle_student",1365
"195","Khyber Pakhtunkhwa","Buner","pop_boys_middle_student",5477
"196","Khyber Pakhtunkhwa","Charsadda","pop_boys_middle_student",6568
"197","Khyber Pakhtunkhwa","Chitral","pop_boys_middle_student",5460
"198","Khyber Pakhtunkhwa","Dera Ismail Khan","pop_boys_middle_student",5702
"199","Khyber Pakhtunkhwa","FR Bannu","pop_boys_middle_student",0
"200","Khyber Pakhtunkhwa","FR Dera Ismail Khan","pop_boys_middle_student",0
"201","Khyber Pakhtunkhwa","FR Kohat","pop_boys_middle_student",66
"202","Khyber Pakhtunkhwa","FR Lakki Marwat","pop_boys_middle_student",0
"203","Khyber Pakhtunkhwa","FR Peshawar","pop_boys_middle_student",0
"204","Khyber Pakhtunkhwa","FR Tank","pop_boys_middle_student",0
"205","Khyber Pakhtunkhwa","Hangu","pop_boys_middle_student",2156
"206","Khyber Pakhtunkhwa","Haripur","pop_boys_middle_student",4892
"207","Khyber Pakhtunkhwa","Karak","pop_boys_middle_student",4332
"208","Khyber Pakhtunkhwa","Khyber","pop_boys_middle_student",0
"209","Khyber Pakhtunkhwa","Kohat","pop_boys_middle_student",4333
"210","Khyber Pakhtunkhwa","Kohistan","pop_boys_middle_student",1494
"211","Khyber Pakhtunkhwa","Kurram","pop_boys_middle_student",0
"212","Khyber Pakhtunkhwa","Lakki Marwat","pop_boys_middle_student",5631
"213","Khyber Pakhtunkhwa","Lower Dir","pop_boys_middle_student",10506
"214","Khyber Pakhtunkhwa","Malakand PA","pop_boys_middle_student",3799
"215","Khyber Pakhtunkhwa","Mansehra","pop_boys_middle_student",7950
"216","Khyber Pakhtunkhwa","Mardan","pop_boys_middle_student",12478
"217","Khyber Pakhtunkhwa","Mohmand","pop_boys_middle_student",0
"218","Khyber Pakhtunkhwa","North Waziristan","pop_boys_middle_student",0
"219","Khyber Pakhtunkhwa","Nowshera","pop_boys_middle_student",5367
"220","Khyber Pakhtunkhwa","Orakzai","pop_boys_middle_student",0
"221","Khyber Pakhtunkhwa","Peshawar","pop_boys_middle_student",10745
"222","Khyber Pakhtunkhwa","Shangla","pop_boys_middle_student",3742
"223","Khyber Pakhtunkhwa","South Waziristan","pop_boys_middle_student",0
"224","Khyber Pakhtunkhwa","Swabi","pop_boys_middle_student",10058
"225","Khyber Pakhtunkhwa","Swat","pop_boys_middle_student",9670
"226","Khyber Pakhtunkhwa","Tank","pop_boys_middle_student",1319
"227","Khyber Pakhtunkhwa","Tor Ghar","pop_boys_middle_student",749
"228","Khyber Pakhtunkhwa","Upper Dir","pop_boys_middle_student",11026
"229","Khyber Pakhtunkhwa","Abbottabad","pop_boys_high_student",27784
"230","Khyber Pakhtunkhwa","Bajaur","pop_boys_high_student",0
"231","Khyber Pakhtunkhwa","Bannu","pop_boys_high_student",19822
"232","Khyber Pakhtunkhwa","Batagram","pop_boys_high_student",5047
"233","Khyber Pakhtunkhwa","Buner","pop_boys_high_student",23405
"234","Khyber Pakhtunkhwa","Charsadda","pop_boys_high_student",31512
"235","Khyber Pakhtunkhwa","Chitral","pop_boys_high_student",15590
"236","Khyber Pakhtunkhwa","Dera Ismail Khan","pop_boys_high_student",24126
"237","Khyber Pakhtunkhwa","FR Bannu","pop_boys_high_student",0
"238","Khyber Pakhtunkhwa","FR Dera Ismail Khan","pop_boys_high_student",0
"239","Khyber Pakhtunkhwa","FR Kohat","pop_boys_high_student",0
"240","Khyber Pakhtunkhwa","FR Lakki Marwat","pop_boys_high_student",0
"241","Khyber Pakhtunkhwa","FR Peshawar","pop_boys_high_student",0
